,unsafe_control_action_0,unsafe_control_action_1,equality
75,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
76,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Hydraulic Controller opens valves too early before receiving Brake command [H-3],False
77,Flight Crew enters Manual control state too late after Autobrake failure [H-3],BSCU Disarm command is issued before landing completion [H-2],False
78,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],BSCU fault signal ignored during landing [H-2],True
79,Autobrake deceleration rate set incorrectly [H-1],BSCU fault signal ignored during landing [H-2],True
80,BSCU triggers Brake too late after turbulence passes [H-6],Hydraulic system disengages prematurely [H-2],False
81,Flight Crew omits BSCU mode check during pre-flight [H-1],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
82,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
83,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Wheels provide inaccurate Wheel Speed data [H-6],False
84,Flight Crew engages Steering control during high-speed approach [H-6],Hydraulic system remains engaged after command ends [H-3],False
85,Hydraulic Controller does not open valves during Autobrake mode [H-3],Hydraulic system disengages prematurely [H-2],True
86,BSCU provides Arm and Set command too late for takeoff roll [H-1],Flight Crew does not engage Steering control during taxi [H-3],False
87,BSCU provides Arm and Set command too late for takeoff roll [H-1],Flight Crew omits BSCU mode check during pre-flight [H-1],True
88,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],BSCU Disarm command is not issued upon successful landing [H-2],False
89,Autobrake Controller does not provide Brake command during emergency landing [H-3],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
90,BSCU provides Arm and Set command prematurely before required conditions [H-1],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
91,BSCU does not engage Autobrake mode when required [H-1],BSCU Disarm command is issued before landing completion [H-2],False
92,Autobrake Controller provides Brake command during takeoff roll [H-3],Wheels do not provide feedback for Wheel Speed [H-6],False
93,BSCU provides Arm and Set command too late for takeoff roll [H-1],BSCU power does not turn off during system fault [H-2],False
94,Autobrake Controller provides Brake command during takeoff roll [H-3],Flight Crew applies Reverse thrust during normal landing [H-2],False
95,Autobrake Controller does not provide Brake command during emergency landing [H-3],Hydraulic Controller opens valves too early before receiving Brake command [H-3],True
96,Wheels do not provide feedback for Wheel Speed [H-6],BSCU fault signal ignored during landing [H-2],False
97,Flight Crew engages Steering control during high-speed approach [H-6],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",True
98,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Flight Crew does not engage Steering control during taxi [H-3],True
99,BSCU triggers Brake too early upon detecting turbulence [H-6],Manual Braking State not entered after system fault detection [H-6],True
100,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU engages Autobrake mode during normal taxi [H-3],False
101,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Hydraulic system disengages prematurely [H-2],True
102,Wheels do not provide feedback for Wheel Speed [H-6],Hydraulic Controller provides excessive pressure to brakes [H-3],False
103,Hydraulic Controller does not open valves during Autobrake mode [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
104,BSCU provides Arm and Set command too late for takeoff roll [H-1],BSCU Disarm command is not issued upon successful landing [H-2],False
105,Flight Crew maintains Manual control state unnecessarily long [H-2],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
106,BSCU provides Arm and Set command prematurely before required conditions [H-1],Flight Crew applies reverse thrust out of sequence [H-6],False
107,BSCU provides Arm and Set command prematurely before required conditions [H-1],Flight Crew omits BSCU mode check during pre-flight [H-1],True
108,Hydraulic Controller fails to provide adequate pressure [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],True
109,Wheels do not provide feedback for Wheel Speed [H-6],BSCU Disarm command is issued before landing completion [H-2],False
110,Flight Crew engages Steering control during high-speed approach [H-6],Flight Crew applies reverse thrust out of sequence [H-6],True
111,BSCU power turns off during normal operation [H-2],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
112,Brake System Control Unit switches to alternate mode without necessity [H-2],BSCU Disarm command is not issued upon successful landing [H-2],True
113,Hydraulic Controller opens valves too early before receiving Brake command [H-3],BSCU Disarm command is not issued upon successful landing [H-2],False
114,Brake System Control Unit switches to alternate mode without necessity [H-2],BSCU fault falsely triggers emergency protocol [H-2],True
115,Wheels do not provide feedback for Wheel Speed [H-6],Autobrake deceleration rate set incorrectly [H-1],False
116,BSCU power turns off during normal operation [H-2],BSCU triggers Brake too late after turbulence passes [H-6],False
117,Hydraulic Controller does not open valves during Autobrake mode [H-3],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],True
118,Autobrake Controller provides Brake command during takeoff roll [H-3],Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],False
119,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Manual Braking State not entered after system fault detection [H-6],True
120,Hydraulic Controller fails to provide adequate pressure [H-3],Autobrake engages without command during manual operation [H-2],True
121,Hydraulic Controller closes valves during critical braking [H-3],BSCU power does not turn off during system fault [H-2],False
122,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Hydraulic Controller provides excessive pressure to brakes [H-3],False
123,Flight Crew engages Steering control during high-speed approach [H-6],Flight Crew neglects reverse thrust check during systems test [H-6],False
124,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Other subsystems trigger erroneous state transition [H-6],False
125,Flight Crew applies Reverse thrust during normal landing [H-2],Brake System Control Unit switches to alternate mode without necessity [H-2],False
126,Flight Crew applies Reverse thrust during normal landing [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],True
127,Autobrake disengages prematurely during emergency braking [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
128,Flight Crew applies Reverse thrust during normal landing [H-2],Hydraulic system remains engaged after command ends [H-3],False
129,BSCU provides Arm and Set command too late for takeoff roll [H-1],BSCU Disarm command is issued before landing completion [H-2],False
130,Flight Crew engages Steering control during high-speed approach [H-6],Hydraulic Controller fails to provide adequate pressure [H-3],False
131,Wheels provide inaccurate Wheel Speed data [H-6],BSCU Disarm command is not issued upon successful landing [H-2],False
132,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Other subsystems fail to revert to safe state post-anomaly [H-6],False
133,Hydraulic Controller fails to provide adequate pressure [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
134,BSCU engages Autobrake mode during normal taxi [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
135,Hydraulic Controller provides excessive pressure to brakes [H-3],Manual Braking State not entered after system fault detection [H-6],True
136,BSCU power does not turn off during system fault [H-2],Hydraulic system disengages prematurely [H-2],True
137,Autobrake deceleration rate set incorrectly [H-1],Other subsystems trigger erroneous state transition [H-6],False
138,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Other subsystems trigger erroneous state transition [H-6],False
139,Autobrake Controller provides Brake command during takeoff roll [H-3],Manual Braking State not entered after system fault detection [H-6],False
140,Autobrake Controller stops providing Brake command too early during landing [H-3],Hydraulic Controller opens valves too early before receiving Brake command [H-3],True
141,Manual Braking State not entered after system fault detection [H-6],BSCU fault falsely triggers emergency protocol [H-2],True
142,Autobrake Controller does not provide Brake command during emergency landing [H-3],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
143,Autobrake Controller does not provide Brake command during emergency landing [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
144,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
145,Hydraulic Controller closes valves during critical braking [H-3],Autobrake deceleration rate set incorrectly [H-1],True
146,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Wheels provide inaccurate Wheel Speed data [H-6],False
147,Hydraulic Controller provides excessive pressure to brakes [H-3],BSCU fault signal ignored during landing [H-2],False
148,Wheels provide inaccurate Wheel Speed data [H-6],Other subsystems trigger erroneous state transition [H-6],True
149,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
150,BSCU Disarm command is not issued upon successful landing [H-2],Hydraulic Controller fails to provide adequate pressure [H-3],False
151,Wheel Brakes maintain full pressure post-stop [H-2],BSCU fault signal ignored during landing [H-2],False
152,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
153,Flight Crew engages Steering control during high-speed approach [H-6],Autobrake deceleration rate set incorrectly [H-1],False
154,Brake System Control Unit switches to alternate mode without necessity [H-2],Flight Crew conducts BSCU mode change mid-flight [H-1],False
155,Wheel Brakes provide inconsistent braking power [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
156,Brake System Control Unit does not switch to alternate braking mode when required [H-3],BSCU Disarm command is issued before landing completion [H-2],False
157,BSCU power does not turn off during system fault [H-2],BSCU fault falsely triggers emergency protocol [H-2],True
158,Autobrake deceleration rate set incorrectly [H-1],Hydraulic system remains engaged after command ends [H-3],False
159,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Autobrake disengages prematurely during emergency braking [H-3],False
160,BSCU does not engage Autobrake mode when required [H-1],BSCU provides Arm and Set command prematurely before required conditions [H-1],False
161,BSCU power does not turn off during system fault [H-2],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
162,Autobrake Controller provides Brake command during takeoff roll [H-3],Flight Crew enters Manual control state too late after Autobrake failure [H-3],True
163,BSCU engages Autobrake mode during normal taxi [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
164,Flight Crew does not engage Steering control during taxi [H-3],Autobrake engages without command during manual operation [H-2],False
165,Hydraulic Controller does not open valves during Autobrake mode [H-3],Hydraulic Controller opens valves too early before receiving Brake command [H-3],True
166,Wheels provide inaccurate Wheel Speed data [H-6],Manual Braking State not entered after system fault detection [H-6],True
167,Wheels do not provide feedback for Wheel Speed [H-6],Manual Braking State not entered after system fault detection [H-6],False
168,Hydraulic Controller closes valves during critical braking [H-3],Autobrake engages without command during manual operation [H-2],True
169,Wheels do not provide feedback for Wheel Speed [H-6],Autobrake deceleration rate change too late for necessary correction [H-1],False
170,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Brake System Control Unit switches to alternate mode without necessity [H-2],False
171,Autobrake disengages prematurely during emergency braking [H-3],Hydraulic system remains engaged after command ends [H-3],False
172,Other subsystems do not receive Manual Controls from Flight Crew [H-6],BSCU Disarm command is issued before landing completion [H-2],False
173,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Manual Braking State not entered after system fault detection [H-6],False
174,Hydraulic Controller does not open valves during Autobrake mode [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],False
175,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Flight Crew applies reverse thrust out of sequence [H-6],True
176,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
177,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
178,BSCU triggers Brake too late after turbulence passes [H-6],Manual Braking State not entered after system fault detection [H-6],True
179,Hydraulic Controller closes valves during critical braking [H-3],BSCU fault signal ignored during landing [H-2],False
180,BSCU engages Autobrake mode during normal taxi [H-3],Hydraulic Controller does not open valves during Autobrake mode [H-3],True
181,BSCU provides Arm and Set command prematurely before required conditions [H-1],Autobrake disengages prematurely during emergency braking [H-3],False
182,Brake System Control Unit switches to alternate mode without necessity [H-2],Wheel Brakes provide inconsistent braking power [H-3],False
183,BSCU provides Arm and Set command too late for takeoff roll [H-1],Hydraulic Controller closes valves during critical braking [H-3],False
184,Autobrake Controller stops providing Brake command too early during landing [H-3],Wheels do not provide feedback for Wheel Speed [H-6],False
185,BSCU power does not turn off during system fault [H-2],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
186,Flight Crew does not engage Steering control during taxi [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
187,Autobrake Controller provides Brake command during takeoff roll [H-3],Hydraulic system disengages prematurely [H-2],False
188,Autobrake engages without command during manual operation [H-2],Autobrake deceleration rate set incorrectly [H-1],True
189,Autobrake Controller does not provide Brake command during emergency landing [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
190,BSCU power does not turn off during system fault [H-2],BSCU Disarm command is not issued upon successful landing [H-2],False
191,Hydraulic Controller opens valves too early before receiving Brake command [H-3],BSCU fault signal ignored during landing [H-2],False
192,Flight Crew maintains Manual control state unnecessarily long [H-2],Flight Crew omits BSCU mode check during pre-flight [H-1],True
193,Flight Crew applies Reverse thrust during normal landing [H-2],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
194,BSCU Disarm command is issued before landing completion [H-2],Flight Crew conducts BSCU mode change mid-flight [H-1],False
195,BSCU power turns off during normal operation [H-2],Other subsystems trigger erroneous state transition [H-6],False
196,BSCU triggers Brake too late after turbulence passes [H-6],Flight Crew conducts BSCU mode change mid-flight [H-1],False
197,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Flight Crew applies Reverse thrust during normal landing [H-2],False
198,Other subsystems receive erroneous Manual Controls causing hazard [H-6],BSCU Disarm command is not issued upon successful landing [H-2],False
199,Wheels do not provide feedback for Wheel Speed [H-6],BSCU triggers Brake too early upon detecting turbulence [H-6],False
200,BSCU provides Arm and Set command too late for takeoff roll [H-1],Flight Crew neglects reverse thrust check during systems test [H-6],False
201,BSCU provides Arm and Set command prematurely before required conditions [H-1],Autobrake deceleration rate set incorrectly [H-1],False
202,BSCU provides Arm and Set command too late for takeoff roll [H-1],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
203,Autobrake Controller does not provide Brake command during emergency landing [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
204,BSCU power does not turn off during system fault [H-2],BSCU Disarm command is issued before landing completion [H-2],False
205,Wheels provide inaccurate Wheel Speed data [H-6],BSCU Disarm command is issued before landing completion [H-2],False
206,BSCU Disarm command is issued before landing completion [H-2],Wheel Brakes maintain full pressure post-stop [H-2],False
207,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Flight Crew conducts BSCU mode change mid-flight [H-1],False
208,Flight Crew conducts BSCU mode change mid-flight [H-1],Autobrake disengages prematurely during emergency braking [H-3],False
209,Flight Crew engages Steering control during high-speed approach [H-6],BSCU fault signal ignored during landing [H-2],False
210,Hydraulic Controller closes valves during critical braking [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
211,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU Disarm command is not issued upon successful landing [H-2],False
212,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
213,Wheels provide inaccurate Wheel Speed data [H-6],Flight Crew neglects reverse thrust check during systems test [H-6],False
214,BSCU Disarm command is not issued upon successful landing [H-2],BSCU fault signal ignored during landing [H-2],True
215,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Manual Braking State not entered after system fault detection [H-6],True
216,Flight Crew does not engage Steering control during taxi [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],False
217,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Other subsystems trigger erroneous state transition [H-6],True
218,Hydraulic Controller does not open valves during Autobrake mode [H-3],BSCU power does not turn off during system fault [H-2],False
219,Hydraulic Controller closes valves during critical braking [H-3],BSCU Disarm command is issued before landing completion [H-2],False
220,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
221,Flight Crew maintains Manual control state unnecessarily long [H-2],Manual Braking State not entered after system fault detection [H-6],False
222,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU fault signal ignored during landing [H-2],False
223,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
224,Other subsystems receive erroneous Manual Controls causing hazard [H-6],BSCU fault falsely triggers emergency protocol [H-2],False
225,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
226,Flight Crew enters Manual control state too late after Autobrake failure [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
227,BSCU power does not turn off during system fault [H-2],Other subsystems trigger erroneous state transition [H-6],False
228,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Wheel Brakes provide inconsistent braking power [H-3],False
229,Flight Crew maintains Manual control state unnecessarily long [H-2],Autobrake deceleration rate change too late for necessary correction [H-1],False
230,Autobrake Controller does not provide Brake command during emergency landing [H-3],Other subsystems trigger erroneous state transition [H-6],True
231,Hydraulic Controller provides excessive pressure to brakes [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
232,Autobrake disengages prematurely during emergency braking [H-3],Other subsystems trigger erroneous state transition [H-6],True
233,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Hydraulic system remains engaged after command ends [H-3],True
234,Flight Crew applies Reverse thrust during normal landing [H-2],Other subsystems trigger erroneous state transition [H-6],False
235,BSCU triggers Brake too early upon detecting turbulence [H-6],Hydraulic system remains engaged after command ends [H-3],False
236,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
237,Hydraulic Controller fails to provide adequate pressure [H-3],Other subsystems trigger erroneous state transition [H-6],False
238,Wheels provide inaccurate Wheel Speed data [H-6],Hydraulic Controller provides excessive pressure to brakes [H-3],False
239,Autobrake Controller does not provide Brake command during emergency landing [H-3],Flight Crew maintains Manual control state unnecessarily long [H-2],False
240,Flight Crew maintains Manual control state unnecessarily long [H-2],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
241,Autobrake Controller provides Brake command during takeoff roll [H-3],Wheels provide inaccurate Wheel Speed data [H-6],False
242,BSCU does not engage Autobrake mode when required [H-1],Brake System Control Unit switches to alternate mode without necessity [H-2],True
243,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
244,BSCU does not engage Autobrake mode when required [H-1],Flight Crew enters Manual control state too late after Autobrake failure [H-3],False
245,Flight Crew applies Reverse thrust during normal landing [H-2],Flight Crew conducts BSCU mode change mid-flight [H-1],False
246,Wheels do not provide feedback for Wheel Speed [H-6],BSCU triggers Brake too late after turbulence passes [H-6],False
247,Hydraulic Controller provides excessive pressure to brakes [H-3],Other subsystems trigger erroneous state transition [H-6],False
248,Flight Crew does not engage Steering control during taxi [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
249,BSCU does not engage Autobrake mode when required [H-1],Autobrake disengages prematurely during emergency braking [H-3],False
250,BSCU does not engage Autobrake mode when required [H-1],Hydraulic Controller fails to provide adequate pressure [H-3],False
251,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Flight Crew maintains Manual control state unnecessarily long [H-2],False
252,BSCU engages Autobrake mode during normal taxi [H-3],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],True
253,BSCU provides Arm and Set command too late for takeoff roll [H-1],Flight Crew does not utilize Reverse thrust on slippery runway [H-1],True
254,BSCU provides Arm and Set command prematurely before required conditions [H-1],BSCU fault signal ignored during landing [H-2],False
255,BSCU fault signal ignored during landing [H-2],Hydraulic system disengages prematurely [H-2],True
256,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],BSCU triggers Brake too late after turbulence passes [H-6],True
257,Hydraulic Controller closes valves during critical braking [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
258,Flight Crew maintains Manual control state unnecessarily long [H-2],Hydraulic Controller opens valves too early before receiving Brake command [H-3],False
259,Hydraulic Controller does not open valves during Autobrake mode [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
260,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
261,BSCU engages Autobrake mode during normal taxi [H-3],Manual Braking State not entered after system fault detection [H-6],False
