,unsafe_control_action,quality
47,"Flight Crew does not provide Manual Control action during emergency descent [H-1, L-1].",CORRECT_AND_USEFUL
48,BSCU provides Arm and Set command prematurely before required conditions [H-1],CORRECT_BUT_USELESS
49,Autobrake engages without command during manual operation [H-2],CORRECT_AND_USEFUL
50,**Flight Crew** omits **reverse thrust** on icy **runway approach** [H-6].,CORRECT_AND_USEFUL
51,Other subsystems fail to revert to safe state post-anomaly [H-6],CORRECT_BUT_USELESS
52,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],CORRECT_AND_USEFUL
53,BSCU Autobrake provides Brake during taxiing [H-3],CORRECT_AND_USEFUL
54,BSCU power turns off during normal operation [H-2],INCORRECT
55,Autobrake deceleration rate set incorrectly [H-1],CORRECT_AND_USEFUL
56,Anti-skid functionality not engaging in wet conditions [H-1],CORRECT_AND_USEFUL
57,**Flight Crew** applies **Brake Pedal** too early in takeoff roll [H-6].,CORRECT_AND_USEFUL
58,Flight Crew does not engage Steering control during taxi [H-3],CORRECT_BUT_USELESS
59,"Flight Crew provides Manual Control out of order during ice conditions [H-1, L-1].",CORRECT_AND_USEFUL
60,Brake System Control Unit does not switch to alternate braking mode when required [H-3],CORRECT_AND_USEFUL
61,BSCU engages Autobrake mode during normal taxi [H-3],INCORRECT
62,BSCU provides Arm and Set command too late for takeoff roll [H-1],CORRECT_AND_USEFUL
63,**Flight Crew** provides **Manual Controls** out of correct sequence before touchdown [H-3].,CORRECT_AND_USEFUL
64,**Flight Crew** applies **Brake** pedal too early causing instability [H-2].,CORRECT_AND_USEFUL
65,Other subsystems receive erroneous Manual Controls causing hazard [H-6],CORRECT_BUT_USELESS
66,"**Flight Crew** applies **Manual Controls** inappropriately during emergency [H-1, H-6].",CORRECT_AND_USEFUL
67,BSCU fault falsely triggers emergency protocol [H-2],CORRECT_AND_USEFUL
68,**Flight Crew** executes **Manual Control** intervention out of recommended sequence [H-5].,CORRECT_AND_USEFUL
69,Wheels do not provide feedback for Wheel Speed [H-6],INCORRECT
70,Autobrake Controller does not provide Brake command during emergency landing [H-3],CORRECT_AND_USEFUL
71,**Manual Controls** provide **reverse thrust** in flight **near a mountain** [H-6].,CORRECT_AND_USEFUL
72,Manual controls do not engage steering while taxiing [H-3],CORRECT_AND_USEFUL
73,"Flight Crew provides Reverse Thrust during takeoff after V1 speed [H-1, H-2].",CORRECT_AND_USEFUL
74,Flight Crew engages Reverse thrust too early before touchdown [H-1],CORRECT_AND_USEFUL
75,**Flight Crew** does not utilize **Reverse Thrust** in strong tailwind conditions [H-1].,CORRECT_AND_USEFUL
76,Brake System Control Unit switches to alternate mode without necessity [H-2],CORRECT_BUT_USELESS
77,**Hydraulic Controller** provides incorrect **Valve Command** in icy conditions [H-4].,CORRECT_AND_USEFUL
78,"**Autobrake Controller** provides **Programmed decel rate** too aggressively, causing discomfort to passengers. [L-5]",CORRECT_AND_USEFUL
79,Flight Crew does not provide control actions to match weather conditions [H-2],CORRECT_AND_USEFUL
80,"Hydraulic Controller does not open Valve quickly during rejected landing [H-2, L-1].",CORRECT_AND_USEFUL
81,Hydraulic Controller fails to provide adequate pressure [H-3],CORRECT_AND_USEFUL
82,BSCU Disarm command is issued before landing completion [H-2],CORRECT_BUT_USELESS
83,**Flight Crew** does not power off **BSCU** during electrical anomalies [H-2].,CORRECT_AND_USEFUL
84,**Other Subsystems** initiate inappropriate **mode change** upon **brake failure** [H-2].,CORRECT_AND_USEFUL
85,BSCU does not engage Autobrake mode when required [H-1],CORRECT_AND_USEFUL
86,Brake System engages WBS too long after stop is achieved [H-4],CORRECT_AND_USEFUL
87,Autobrake Controller engages while autopilot is active under manual control [H-7].,CORRECT_AND_USEFUL
88,Flight Crew maintains Manual control state unnecessarily long [H-2],CORRECT_AND_USEFUL
89,**Wheel Brake Subsystem** stops transmitting **Wheel Speed** data too soon [H-4].,CORRECT_AND_USEFUL
90,"**Hydraulic Controller** delays **Open/close valve** during icy conditions, reducing braking effectiveness. [H-4]",CORRECT_AND_USEFUL
91,Hydraulic Controller opens valves too early before receiving Brake command [H-3],CORRECT_AND_USEFUL
92,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],CORRECT_AND_USEFUL
93,Hydraulic Controller provides excessive pressure to brakes [H-3],CORRECT_BUT_USELESS
94,BSCU triggers Brake too late after turbulence passes [H-6],CORRECT_AND_USEFUL
95,Autobrake disengages prematurely during emergency braking [H-3],CORRECT_AND_USEFUL
96,BSCU power is not turned on during pre-flight checks [H-7],CORRECT_AND_USEFUL
97,Autobrake Controller stops providing Brake command too early during landing [H-3],CORRECT_AND_USEFUL
98,Hydraulic Controller closes valves during critical braking [H-3],CORRECT_BUT_USELESS
99,**Flight Crew** fails to power off **BSCU** after fault indication [H-6].,CORRECT_AND_USEFUL
