,scenario,quality
65,Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],CORRECT_AND_USEFUL
66,Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],CORRECT_AND_USEFUL
67,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",CORRECT_AND_USEFUL
68,"Autobrake activates during normal takeoff due to a sensor error, reducing takeoff speed [UCA-2, H-4.6].
",CORRECT_AND_USEFUL
69,GPS failure results in UAV deviating from mission path. [H-4],CORRECT_AND_USEFUL
70,UAV’s data link failure leads to incomplete surveillance mission. [H-7],CORRECT_AND_USEFUL
71,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],CORRECT_AND_USEFUL
72,Malfunction in UAV’s navigation system prevents mission completion. [H-7],CORRECT_AND_USEFUL
73,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],CORRECT_AND_USEFUL
74,"Failure in redundant brake systems occurs simultaneously due to overlapping scheduled maintenance [H-4].
",CORRECT_AND_USEFUL
75,"Sensor malfunction leads to an early stop of Brake action [UCA-4], resulting in runway overrun [H-4.1].
",CORRECT_AND_USEFUL
76,"The aircraft's speed sensor fails, leading to a stall mid-flight [H-1].
",CORRECT_AND_USEFUL
77,"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",CORRECT_AND_USEFUL
78,Weather-induced loss of control disrupts mission timeline. [H-4],CORRECT_BUT_USELESS
79,"Satellite fails data collection due to power subsystem failure [H-5].
",CORRECT_AND_USEFUL
80,"The control system fails to register a change in terrain, leading to a hazardous flight path [H-6].
",CORRECT_AND_USEFUL
81,"Brake command delay due to system processing lag [UCA-3].
",CORRECT_AND_USEFUL
82,"Crew misinterprets non-critical warning, deactivates BSCU prematurely [Crew-UCA-3], risking incomplete deceleration [H-4.1].
",CORRECT_AND_USEFUL
83,"Physical controller anomaly sends unintended Brake command [UCA-2]. Results in excessive deceleration [H-4.3].
",CORRECT_AND_USEFUL
84,"BSCU power failure during a critical maneuver leads to an inability to execute braking commands. [UCA-4, H-4]
",CORRECT_AND_USEFUL
85,"Icing conditions impact aerodynamic surfaces, leading to flight instability [H-2].
",CORRECT_AND_USEFUL
86,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",CORRECT_AND_USEFUL
87,Hydraulic leak prevents adequate brake pressure application. [H-4.1],CORRECT_AND_USEFUL
88,In-flight control system reset results in temporary loss of navigation capabilities. [H-4],CORRECT_AND_USEFUL
89,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",CORRECT_AND_USEFUL
90,"The Flight Crew erroneously engages the BSCU during takeoff, activating braking [UCA-2], leading to insufficient acceleration [H-4.6].
",CORRECT_AND_USEFUL
91,"The Autobrake Controller sends Brake control actions intermittently due to fluctuating hydraulic pressure [UCA-5].
",CORRECT_AND_USEFUL
92,"Crew fails to power BSCU off during WBS anomaly, causing runway overrun [Crew-UCA-1].
",CORRECT_AND_USEFUL
93,"Electrical surge affects onboard avionics, misreporting aircraft altitude [H-1].
",CORRECT_AND_USEFUL
94,"Incorrect brake pressure leads to skidding during takeoff, increasing wear and damage [UCA-5, H-4.3].
",CORRECT_AND_USEFUL
95,"Internal cargo fire triggered by improperly secured dangerous goods [H-2].
",CORRECT_AND_USEFUL
96,Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],CORRECT_AND_USEFUL
97,"Pilot misjudgment during UAV operation results in unsafe approach to terrain [H-6], causing damage [L-2].
",CORRECT_AND_USEFUL
98,"Pilots do not notice a wind shear threat, causing unsafe proximity to the runway edge [H-3].
",CORRECT_AND_USEFUL
99,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],CORRECT_AND_USEFUL
