,scenario_0,scenario_1,equality
59,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],False
60,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
61,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],Autobrake system erroneously applies breaks during takeoff. [H-4.3],False
62,Brake system power-off too early interrupting necessary deceleration. [H-4.1],Nuclear plant valve malfunction results in unchecked material release. [H-8],False
63,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Hydraulic leak prevents adequate brake pressure application. [H-4.1],False
64,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],Early termination of brake command resulting in extended runway use. [H-4.1],False
65,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",GPS failure results in UAV deviating from mission path. [H-4],False
66,Hydraulic leak prevents adequate brake pressure application. [H-4.1],Power surge in BSCU disrupts normal braking sequence. [H-4.1],True
67,Brake system power-off too early interrupting necessary deceleration. [H-4.1],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],True
68,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Hydraulic control failure results in insufficient braking power application. [H-4.1],True
69,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",Early termination of brake command resulting in extended runway use. [H-4.1],True
70,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],True
71,Brake system power-off too early interrupting necessary deceleration. [H-4.1],Ground radar failure results in aircraft collision with ground object. [H-4],False
72,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],False
73,Autobrake system erroneously applies breaks during takeoff. [H-4.3],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
74,Brake system power-off too early interrupting necessary deceleration. [H-4.1],"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",True
75,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],UAV’s data link failure leads to incomplete surveillance mission. [H-7],False
76,GPS failure results in UAV deviating from mission path. [H-4],Power surge in BSCU disrupts normal braking sequence. [H-4.1],True
77,Satellite communication error prevents scientific data collection. [H-5],GPS failure results in UAV deviating from mission path. [H-4],True
78,Power surge in BSCU disrupts normal braking sequence. [H-4.1],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
79,Control system failure at nuclear plant leads to dangerous material release. [H-8],UAV’s data link failure leads to incomplete surveillance mission. [H-7],False
80,Control system failure at nuclear plant leads to dangerous material release. [H-8],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",False
81,Tire burst during landing roll causes deviation from runway. [H-3],Ground radar failure results in aircraft collision with ground object. [H-4],False
82,UAV’s data link failure leads to incomplete surveillance mission. [H-7],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],False
83,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],False
84,"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",Autopilot disengagement error results in improper descent path. [H-6],False
85,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],False
86,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Weather-induced loss of control disrupts mission timeline. [H-4],False
87,Actuator delay results in insufficient braking force during landing. [H-4.1],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
88,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],Hydraulic leak prevents adequate brake pressure application. [H-4.1],True
89,Hydraulic failure leads to asymmetric brake application. [H-4.2],Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],False
90,Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
91,Satellite communication error prevents scientific data collection. [H-5],"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",False
92,"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",Ground radar failure results in aircraft collision with ground object. [H-4],False
93,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],True
94,Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],False
95,Nuclear plant valve malfunction results in unchecked material release. [H-8],Tire burst during landing roll causes deviation from runway. [H-3],False
96,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",UAV’s data link failure leads to incomplete surveillance mission. [H-7],False
97,Nuclear plant valve malfunction results in unchecked material release. [H-8],Autobrake system erroneously applies breaks during takeoff. [H-4.3],True
98,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",Autopilot disengagement error results in improper descent path. [H-6],False
99,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],True
100,In-flight control system reset results in temporary loss of navigation capabilities. [H-4],Early termination of brake command resulting in extended runway use. [H-4.1],True
101,Tire burst during landing roll causes deviation from runway. [H-3],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",False
102,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Satellite communication error prevents scientific data collection. [H-5],False
103,Satellite communication error prevents scientific data collection. [H-5],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],True
104,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Control system failure at nuclear plant leads to dangerous material release. [H-8],False
105,Brake command transmission delay due to network congestion causes late brake application. [H-4.1],Ground radar failure results in aircraft collision with ground object. [H-4],False
106,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
107,Autobrake system erroneously applies breaks during takeoff. [H-4.3],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],False
108,Power surge in BSCU disrupts normal braking sequence. [H-4.1],Early termination of brake command resulting in extended runway use. [H-4.1],True
109,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
110,Power surge in BSCU disrupts normal braking sequence. [H-4.1],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
111,"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",Early termination of brake command resulting in extended runway use. [H-4.1],True
112,Autobrake system erroneously applies breaks during takeoff. [H-4.3],Ground radar failure results in aircraft collision with ground object. [H-4],False
113,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],False
114,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],Hydraulic control failure results in insufficient braking power application. [H-4.1],False
115,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Crew ignores braking system warnings due to unclear procedures. [H-4.1],False
116,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],True
117,Control system failure at nuclear plant leads to dangerous material release. [H-8],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
118,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Autopilot disengagement error results in improper descent path. [H-6],True
119,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Brake system power-off too early interrupting necessary deceleration. [H-4.1],True
120,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",UAV’s data link failure leads to incomplete surveillance mission. [H-7],False
121,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
122,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Hydraulic failure leads to asymmetric brake application. [H-4.2],False
123,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Hydraulic control failure results in insufficient braking power application. [H-4.1],False
124,Hydraulic failure leads to asymmetric brake application. [H-4.2],Early termination of brake command resulting in extended runway use. [H-4.1],False
125,Autobrake system erroneously applies breaks during takeoff. [H-4.3],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],False
126,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",Ground radar failure results in aircraft collision with ground object. [H-4],False
127,Tire burst during landing roll causes deviation from runway. [H-3],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
128,Nuclear plant valve malfunction results in unchecked material release. [H-8],"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
129,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",False
130,Actuator delay results in insufficient braking force during landing. [H-4.1],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
131,Satellite communication error prevents scientific data collection. [H-5],Autobrake system erroneously applies breaks during takeoff. [H-4.3],True
132,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],True
133,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],True
134,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",False
135,GPS failure results in UAV deviating from mission path. [H-4],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
136,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
137,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]","Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",True
138,Nuclear plant valve malfunction results in unchecked material release. [H-8],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
139,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
140,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Crew ignores braking system warnings due to unclear procedures. [H-4.1],False
141,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
142,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],False
143,Malfunction in UAV’s navigation system prevents mission completion. [H-7],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
144,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Power surge in BSCU disrupts normal braking sequence. [H-4.1],True
145,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],False
146,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],False
147,Malfunction in UAV’s navigation system prevents mission completion. [H-7],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",False
148,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],False
149,Actuator delay results in insufficient braking force during landing. [H-4.1],UAV’s data link failure leads to incomplete surveillance mission. [H-7],False
150,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Ground radar failure results in aircraft collision with ground object. [H-4],True
151,Brake system power-off too early interrupting necessary deceleration. [H-4.1],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",False
152,UAV’s data link failure leads to incomplete surveillance mission. [H-7],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
153,"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
154,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
155,In-flight control system reset results in temporary loss of navigation capabilities. [H-4],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
156,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Tire burst during landing roll causes deviation from runway. [H-3],False
157,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]","BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
158,Early termination of brake command resulting in extended runway use. [H-4.1],Weather-induced loss of control disrupts mission timeline. [H-4],False
159,Crew ignores braking system warnings due to unclear procedures. [H-4.1],"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
160,Satellite communication error prevents scientific data collection. [H-5],Nuclear plant valve malfunction results in unchecked material release. [H-8],True
161,Nuclear plant valve malfunction results in unchecked material release. [H-8],"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",False
162,GPS failure results in UAV deviating from mission path. [H-4],Ground radar failure results in aircraft collision with ground object. [H-4],True
163,UAV’s data link failure leads to incomplete surveillance mission. [H-7],Hydraulic control failure results in insufficient braking power application. [H-4.1],False
164,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",Early termination of brake command resulting in extended runway use. [H-4.1],False
165,Brake system power-off too early interrupting necessary deceleration. [H-4.1],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
166,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],Aircraft taxiing system error causes deviation from designated taxiway. [H-3],False
167,Malfunction in UAV’s navigation system prevents mission completion. [H-7],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],True
168,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Brake system power-off too early interrupting necessary deceleration. [H-4.1],False
169,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Nuclear plant valve malfunction results in unchecked material release. [H-8],True
170,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",Brake command transmission delay due to network congestion causes late brake application. [H-4.1],True
171,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Brake system power-off too early interrupting necessary deceleration. [H-4.1],True
172,Hydraulic failure leads to asymmetric brake application. [H-4.2],Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
173,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",False
174,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],False
175,Hydraulic leak prevents adequate brake pressure application. [H-4.1],GPS failure results in UAV deviating from mission path. [H-4],False
176,Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],True
177,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
178,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",Hydraulic control failure results in insufficient braking power application. [H-4.1],True
179,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],True
180,Hydraulic failure leads to asymmetric brake application. [H-4.2],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
181,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
182,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],Tire burst during landing roll causes deviation from runway. [H-3],False
183,Autopilot disengagement error results in improper descent path. [H-6],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],False
184,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
185,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]","Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",True
186,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Autopilot disengagement error results in improper descent path. [H-6],True
187,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",False
188,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Hydraulic failure leads to asymmetric brake application. [H-4.2],False
189,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],False
190,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",Power surge in BSCU disrupts normal braking sequence. [H-4.1],True
191,Autobrake system erroneously applies breaks during takeoff. [H-4.3],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],False
192,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",True
193,Control system failure at nuclear plant leads to dangerous material release. [H-8],Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],False
194,Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
195,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
196,Hydraulic leak prevents adequate brake pressure application. [H-4.1],Nuclear plant valve malfunction results in unchecked material release. [H-8],False
197,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
198,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],Nuclear plant valve malfunction results in unchecked material release. [H-8],True
199,Satellite communication error prevents scientific data collection. [H-5],"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",False
200,Control system failure at nuclear plant leads to dangerous material release. [H-8],"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
201,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Hydraulic failure leads to asymmetric brake application. [H-4.2],False
202,GPS failure results in UAV deviating from mission path. [H-4],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
203,Control system failure at nuclear plant leads to dangerous material release. [H-8],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],False
204,"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
205,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Brake command transmission delay due to network congestion causes late brake application. [H-4.1],False
206,Satellite communication error prevents scientific data collection. [H-5],Crew ignores braking system warnings due to unclear procedures. [H-4.1],False
207,Brake system power-off too early interrupting necessary deceleration. [H-4.1],Early termination of brake command resulting in extended runway use. [H-4.1],True
208,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
209,Hydraulic leak prevents adequate brake pressure application. [H-4.1],UAV’s data link failure leads to incomplete surveillance mission. [H-7],True
210,GPS failure results in UAV deviating from mission path. [H-4],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],True
211,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",Ground radar failure results in aircraft collision with ground object. [H-4],False
212,Satellite communication error prevents scientific data collection. [H-5],BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],False
213,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
214,Hydraulic leak prevents adequate brake pressure application. [H-4.1],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
215,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],Autopilot disengagement error results in improper descent path. [H-6],False
216,Hydraulic failure leads to asymmetric brake application. [H-4.2],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],False
217,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Satellite communication error prevents scientific data collection. [H-5],False
